strategy,segment,race_id,race_date,month,track,race_no,formation,bets,stake_yen,payout_yen,profit_yen,hit,A,B,M3,R1L,R1B,pair_score_gap,pair_win_gap,rival_top3,pair_top3_gap,r1l_score,main_top2
late,後半,3820260421010010,2026-04-21,2026-04,静岡競輪,10,MAIN4_X,4-7-1|7-4-1|4-7-3|7-4-3,400,0,-400,0,4,7,1,3,5,11.310000000000002,6.599999999999998,58.0,49.900000000000006,101.34,64.4
late,後半,3820260421010011,2026-04-21,2026-04,静岡競輪,11,MAIN4_X,3-5-6|5-3-6|3-5-7|5-3-7,400,0,-400,0,3,5,6,7,1,7.760000000000019,-21.799999999999997,90.6,-4.699999999999989,102.33,47.1
middle,中盤,2220260422010009,2026-04-22,2026-04,前橋競輪,9,MIX2,4-2-5|3-5-2,200,0,-200,0,4,2,6,3,5,6.740000000000009,25.2,89.1,19.700000000000017,99.95,83.3
late,後半,2220260422010010,2026-04-22,2026-04,前橋競輪,10,MAIN4_X,5-2-4|2-5-4|5-2-3|2-5-3,400,0,-400,0,5,2,4,3,1,1.0200000000000387,-14.299999999999999,97.7,-20.500000000000014,102.21,40.8
early,前半,5320260501010007,2026-05-01,2026-05,奈良競輪,7,MIX2,5-1-4|2-4-1,200,0,-200,0,5,1,6,2,4,1.4099999999999966,-22.5,88.1,-8.099999999999994,100.08,48.300000000000004
middle,中盤,5620260504010010,2026-05-04,2026-05,岸和田競輪,10,MIX2,3-5-1|7-1-5,200,0,-200,0,3,5,4,7,1,8.649999999999977,15.400000000000006,82.8,31.39999999999999,100.37,96.19999999999999
middle,中盤,3720260511010008,2026-05-11,2026-05,伊東競輪,8,MIX2,5-2-4|3-4-2,200,0,-200,0,5,2,7,3,4,7.680000000000007,4.800000000000001,93.3,13.299999999999997,100.03,75.0
early,前半,7320260513010007,2026-05-13,2026-05,小松島競輪,7,MIX2,3-4-6|2-6-4,200,0,-200,0,3,4,7,2,6,2.4199999999999875,-20.4,75.5,-8.099999999999994,102.26,40.3
middle,中盤,2720260518010008,2026-05-18,2026-05,京王閣競輪,8,MIX2,5-3-4|1-4-3,200,0,-200,0,5,3,7,1,4,3.0500000000000114,11.900000000000002,86.9,27.69999999999999,99.78,61.6
early,前半,2420260521010007,2026-05-21,2026-05,宇都宮競輪,7,MIX2,3-7-5|2-5-7,200,0,-200,0,3,7,4,2,5,0.539999999999992,-4.700000000000003,86.4,5.099999999999994,99.78,59.599999999999994
middle,中盤,1120260523010008,2026-05-23,2026-05,函館競輪,8,MIX2,4-2-5|3-5-2,200,0,-200,0,4,2,6,3,5,2.4499999999999886,44.699999999999996,81.4,51.19999999999999,97.04,111.1
early,前半,8620260525010006,2026-05-25,2026-05,別府競輪,6,MIX2,4-1-5|3-5-1,200,0,-200,0,4,1,7,3,5,4.510000000000019,-2.8000000000000007,67.7,32.3,98.96,78.0
late,後半,8620260525010010,2026-05-25,2026-05,別府競輪,10,MAIN4_X,1-5-4|5-1-4|1-5-3|5-1-3,400,480,80,1,1,5,4,3,6,9.480000000000018,31.2,51.5,47.5,100.34,60.599999999999994
early,前半,3720260528010006,2026-05-28,2026-05,伊東競輪,6,MIX2,7-4-5|2-5-4,200,0,-200,0,7,4,1,2,5,4.810000000000002,-3.1999999999999993,86.0,12.300000000000011,99.74,64.6
late,後半,3720260528010011,2026-05-28,2026-05,伊東競輪,11,MAIN4_X,5-1-6|1-5-6|5-1-4|1-5-4,400,0,-400,0,5,1,6,4,3,2.8499999999999943,-33.7,97.6,-4.299999999999997,102.8,64.6
late,後半,1220260602010011,2026-06-02,2026-06,青森競輪,11,MAIN4_X,3-7-1|7-3-1|3-7-2|7-3-2,400,0,-400,0,3,7,1,2,5,5.390000000000015,13.7,71.2,18.60000000000001,101.4,53.3
early,前半,2120260604010006,2026-06-04,2026-06,弥彦競輪,6,MIX2,5-2-4|1-4-2,200,3310,3110,1,5,2,6,1,4,4.059999999999974,-10.0,89.2,-16.60000000000001,99.95,45.599999999999994
early,前半,2120260604010007,2026-06-04,2026-06,弥彦競輪,7,MIX2,1-5-2|6-2-5,200,0,-200,0,1,5,3,6,2,4.949999999999989,-4.600000000000001,65.1,18.80000000000001,96.96,52.0
late,後半,3720260613010010,2026-06-13,2026-06,伊東競輪,10,MAIN4_X,3-4-7|4-3-7|3-4-1|4-3-1,400,0,-400,0,3,4,7,1,5,5.029999999999973,29.499999999999996,86.0,28.19999999999999,101.96,61.8
early,前半,3520260619010006,2026-06-19,2026-06,平塚競輪,6,MIX2,7-3-1|5-1-3,200,0,-200,0,7,3,4,5,1,2.7800000000000296,-17.0,70.0,18.400000000000006,103.38,48.599999999999994
middle,中盤,3520260619010009,2026-06-19,2026-06,平塚競輪,9,MIX2,7-3-2|5-2-3,200,0,-200,0,7,3,4,5,2,0.14000000000001478,58.699999999999996,84.8,43.800000000000026,100.31,105.6
middle,中盤,1120260620010008,2026-06-20,2026-06,函館競輪,8,MIX2,5-2-1|4-1-2,200,0,-200,0,5,2,7,4,1,4.889999999999986,25.200000000000003,91.5,26.5,101.0,82.8
late,後半,3620260622010010,2026-06-22,2026-06,小田原競輪,10,MAIN4_X,2-5-4|5-2-4|2-5-1|5-2-1,400,0,-400,0,2,5,4,1,6,8.199999999999989,15.099999999999998,50.3,28.39999999999999,100.11,51.8
early,前半,5520260623010006,2026-06-23,2026-06,和歌山競輪,6,MIX2,1-5-7|2-7-5,200,0,-200,0,1,5,6,2,7,1.7500000000000284,-13.5,88.1,13.100000000000009,101.3,68.6
middle,中盤,5520260623010009,2026-06-23,2026-06,和歌山競輪,9,MIX2,7-1-4|3-4-1,200,0,-200,0,7,1,5,3,4,7.1299999999999955,38.4,83.2,30.200000000000003,100.28,93.30000000000001
early,前半,3120260625010007,2026-06-25,2026-06,松戸競輪,7,MIX2,1-7-4|2-4-7,200,0,-200,0,1,7,5,2,4,0.38999999999998636,-16.299999999999997,75.30000000000001,6.8999999999999915,99.78,58.8
early,前半,8120260626010008,2026-06-26,2026-06,小倉競輪,8,MIX2,5-3-1|4-1-3,200,0,-200,0,5,3,6,4,1,3.280000000000001,-20.1,95.0,4.699999999999989,106.6,75.4
early,前半,3520260630010008,2026-06-30,2026-06,平塚競輪,8,MIX2,1-4-3|7-3-4,200,0,-200,0,1,4,6,7,3,4.21999999999997,-6.100000000000001,105.6,-11.899999999999991,100.45,69.4
